ID,Text
1,"Artificial Intelligence is a branch of computer science that enables machines to perform tasks that normally require human intelligence. AI is used in healthcare, education, banking, transportation, and many other fields. Machine learning and deep learning are important technologies used in AI."
2,"Machine learning allows computers to learn from data without being explicitly programmed. It is used for prediction, classification, recommendation, spam detection, image recognition, and fraud detection. Good quality data helps machine learning models produce better results."
3,"Natural Language Processing is a field of artificial intelligence that helps computers understand human language. NLP is used in chatbots, language translation, sentiment analysis, speech recognition, and text summarization. It helps computers process large amounts of text data."
4,"Text summarization is the process of creating a shorter version of a large text while preserving its important information. It helps users quickly understand long documents, articles, and reports. Automatic summarization techniques can identify the most important sentences in a document."
5,"Education plays an important role in the development of society. Technology has changed the way students learn and teachers teach. Online classes, digital textbooks, educational applications, and artificial intelligence provide students with new learning opportunities."
6,"Renewable energy comes from natural sources such as sunlight, wind, water, and biomass. Solar and wind energy can reduce the use of fossil fuels. Renewable energy is important for reducing pollution and supporting sustainable development."
7,"The internet has changed communication and information sharing. People can communicate through email, social media, video calls, and messaging applications. The internet also provides access to education, entertainment, online banking, and many other services."
8,"Healthy food provides the nutrients required for the human body. Fruits, vegetables, grains, proteins, and sufficient water are important parts of a balanced diet. Regular physical activity and healthy eating habits can support overall well-being."
9,"Cybersecurity protects computers, networks, applications, and data from unauthorized access. Strong passwords, software updates, encryption, and secure networks can help protect digital information. Cybersecurity is becoming increasingly important as more services move online."
10,"Cloud computing provides computing resources such as storage, servers, and software through the internet. It allows users to access their data and applications from different devices. Cloud computing is widely used by businesses, educational institutions, and individuals."
